500,4051
1400,  3750,  11
1555,  3818,  5
-402,  3987,  19
-368,  4040,  3
2300,  4070,  1
1651,  4101,  21
-445,  4138,  9
147,   4182,  17
1272,  4190,  22
-810,  4250,  16
133,   4350,  17
600,   4400,  1
1100,  4475,  19
-83,   4747,  32
175,   4750,  8
688,   4849,  9
1143,  4878,  20
600,   4900,  5
283,   4950,  16
2027,  4986,  29
2217,  5003,  15
1900,  5025,  3
272,   5047,  18
859,   5067,  7
15,    5078,  9
1105,  5086,  26
1640,  5108,  16
-290,  5125,  10
6,     5136,  7
-10,   5145,  15
755,   5147,  8
1947,  5161,  7
500,   5167,  27
1942,  5178,  33
-147,  5197,  19
467,   5200,  16
2110,  5222,  4
1674,  5233,  10
1301,  5236,  3
-189,  5248,  29
1340,  5250,  16
939,   5276,  19
1849,  5308,  9
-800,  5333,  20
-626,  5335,  23
-232,  5350,  15
1000,  5357,  9
-155,  5380,  13
-1022, 5382,  6
1802,  5420,  8
-700,  5440,  19
951,   5447,  14
1817,  5633,  20
2400,  5400,  19
